title, description, offer_text, is_online, category, start_date, end_date
,,Flexible EMI offer with your SBI Card at Bagittoday.com,Y,,2015-04-01,2018-03-20
,,Exclusive EMI offer at nearest Apple Store,N,,2015-01-15,2017-06-26
TATA AIG Insurance Offers on SBI Credit Cards,Pay your TATA AIG insurance premium in 3  6  9  12 EMIs with SBI Credit Cards. Find TATA AIG insurance offer details and T&C on our website.,Pay your Insurance premiums in EMIs,N,,2015-01-15,2020-04-30
Viveks Flexible EMI Offers on SBI Credit Cards,Get Viveks Flexible EMI Offers on your SBI credits cards. Find Viveks offer details  terms and conditions on our website.,Flexible EMI offer with your SBI Card at Viveks,N,,2014-04-01,2020-04-30
Amazon Flexible EMI Offers on SBI Credit Cards,Get Amazon Flexible EMI Offers on your SBI credits cards. Find Amazon offer details  terms and conditions on our website.,Flexible EMI offer with your SBI Card at Amazon.in,Y,,2015-04-01,2025-04-30
Future General Insurance Offers on SBI Credit Cards,Pay your Future General insurance premium in 3  6  9  12 EMIs with SBI Credit Cards. Find Future General insurance offer details and T&C on our website.,Pay your Insurance premiums in EMIs,N,,2015-01-15,2020-04-30
Myntra EMI Offers on SBI Credit Cards,Get Myntra EMI Offers on your SBI credits cards. Find Myntra offer details  terms and conditions on our website.,EMI at Myntra.com,Y,Shopping,2018-04-11,2021-12-31
SBI Life Insurance Offers on SBI Credit Cards,Pay your SBI Life insurance premium in 3  6  9  12 EMIs with SBI Credit Cards. Find SBI Life insurance offer details and T&C on our website.,Pay your Insurance premiums in EMIs,N,,2015-04-01,2025-04-30
,,Exclusive EMI offer on your SBI Card at nearest Prestige Kitchen store,N,,2015-01-15,2018-03-18
Shopclues Flexible EMI Offers on SBI Credit Cards,Get Shopclues Flexible EMI Offers on your SBI credits cards. Find Shopclues offer details  terms and conditions on our website.,Flexible EMI offer with your SBI Card at shopclues.com,Y,,2015-01-15,2020-04-30
Samsung Flexible EMI Offers on SBI Credit Cards,Get Samsung Flexible EMI Offers on your SBI credits cards. Find Samsung offer details  terms and conditions on our website.,Flexible EMI offer with your SBI Card on Samsung Electronics,N,Shopping,2014-04-01,2020-04-30
Reliance Insurance Offers on SBI Credit Cards,Pay your Reliance insurance premium in 3  6  9  12 EMIs with SBI Credit Cards. Find Reliance insurance offer details and T&C on our website.,Pay your Insurance premiums in EMIs,N,,2014-04-01,2020-04-30
Vijay Sales Flexible EMI Offers on SBI Credit Cards,Get Vijay Sales Flexible EMI Offers on your SBI credits cards. Find Vijay Sales offer details  terms and conditions on our website.,Flexible EMI offer with your SBI Card at Vijay Sales,N,,2014-04-01,2020-04-30
Bigc Flexible EMI Offers on SBI Credit Cards,Get Bigc Flexible EMI Offers on your SBI credits cards. Find Bigc offer details  terms and conditions on our website.,Flexible EMI offer with your SBI Card at BigC stores,N,,2015-01-15,2022-04-30
Sargam Flexible EMI Offers on SBI Credit Cards,Get Sargam Flexible EMI Offers on your SBI credits cards. Find Sargam offer details  terms and conditions on our website.,Flexible EMI offer with your SBI Card at Sargam stores,N,,2014-04-01,2020-04-30
Country Club Flexible EMI Offers on SBI Credit Cards,Get Country Club Flexible EMI Offers on your SBI credits cards. Find Country Club offer details  terms and conditions on our website.,Flexible EMI offer with your SBI Card at Country Club Fitness outlets,N,,2015-01-15,2020-04-30
,,Flexible EMI offer with your SBI Card at Vibes,N,,2015-01-15,2018-03-18
Bajaj Insurance Offers on SBI Credit Cards,Pay your Bajaj insurance premium in 3  6  9  12 EMIs with SBI Credit Cards. Find Bajaj insurance offer details and T&C on our website.,Pay your Insurance premiums in EMIs,Y,Lifestyle,2015-01-15,2027-03-25
More Megastore Flexible EMI Offers on SBI Credit Cards,Get More Megastore Flexible EMI Offers on your SBI credits cards. Find More Megastore offer details  terms and conditions on our website.,Flexible EMI offer with your SBI Card at More Megastore,N,,2015-01-15,2020-04-30
Urban Ladder Flexible EMI Offers on SBI Credit Cards,Get Urban Ladder Flexible EMI Offers on your SBI credits cards. Find Urban Ladder offer details  terms and conditions on our website.,Flexible EMI offer with your SBI Card at Urbanladder.com,Y,,2015-01-15,2020-04-30
,,Pay your Insurance premiums in EMIs,Y,,2015-01-15,2018-03-18
,,Flexible EMI offer with your SBI Card at Emibazaar.com,Y,,2015-01-15,2018-03-20
,,Exclusive EMI offer on your SBI Card at nearest Reliance Digital store,N,Shopping,2015-12-31,2016-01-31
,,Flexible EMI offer with your SBI Card at Snap Fitness,N,,2015-01-15,2018-03-11
,,Flexible EMI offer with your SBI Card at goindigo.in,Y,,2015-01-15,2015-10-01
Snapdeal Flexible EMI Offers on SBI Credit Cards,Get Snapdeal Flexible EMI Offers on your SBI credits cards. Find Snapdeal offer details  terms and conditions on our website.,Flexible EMI offer with your SBI Card at Snapdeal.com,Y,,2015-01-15,2020-04-30
